"Year","Month","Value"
"1959","January",29.5
"1959","February",32.49
"1959","March",41.45
"1959","April",51.6
"1959","May",60.84
"1959","June",69.96
"1959","July",73.58
"1959","August",73.17
"1959","September",64.74
"1959","October",53.33
"1959","November",38.66
"1959","December",35.94
"1960","January",29.46
"1960","February",30.52
"1960","March",35.91
"1960","April",52.59
"1960","May",59.31
"1960","June",69.08
"1960","July",73.89
"1960","August",72.21
"1960","September",66.45
"1960","October",54.77
"1960","November",42.73
"1960","December",30.4
"1961","January",29.71
"1961","February",37.42
"1961","March",43.47
"1961","April",48.67
"1961","May",58.87
"1961","June",69.49
"1961","July",73.24
"1961","August",72.7
"1961","September",63.41
"1961","October",53.85
"1961","November",40.5
"1961","December",31.08
"1962","January",26.96
"1962","February",34.92
"1962","March",37.9
"1962","April",51.84
"1962","May",62.24
"1962","June",67.91
"1962","July",72.07
"1962","August",72.12
"1962","September",64.18
"1962","October",56.12
"1962","November",43.18
"1962","December",33.4
"1963","January",24.44
"1963","February",34.12
"1963","March",43.72
"1963","April",51.89
"1963","May",61.02
"1963","June",68.67
"1963","July",73.6
"1963","August",71.98
"1963","September",66.34
"1963","October",59.36
"1963","November",44.04
"1963","December",27.9
"1964","January",31.53
"1964","February",31.77
"1964","March",38.82
"1964","April",51.3
"1964","May",61.43
"1964","June",68
"1964","July",74.66
"1964","August",70.72
"1964","September",63.7
"1964","October",53.78
"1964","November",42.33
"1964","December",32.04
"1965","January",31.8
"1965","February",32.52
"1965","March",35.44
"1965","April",51.89
"1965","May",60.8
"1965","June",66.85
"1965","July",72.61
"1965","August",71.06
"1965","September",61.77
"1965","October",54.99
"1965","November",44.65
"1965","December",35.85
"1966","January",26.38
"1966","February",31.24
"1966","March",43
"1966","April",49.96
"1966","May",60.19
"1966","June",67.93
"1966","July",75.07
"1966","August",70.86
"1966","September",64.54
"1966","October",52.83
"1966","November",43.21
"1966","December",32.68
"1967","January",33.1
"1967","February",32.88
"1967","March",43.63
"1967","April",51.01
"1967","May",57.63
"1967","June",67.55
"1967","July",72.52
"1967","August",71.22
"1967","September",64.06
"1967","October",53.92
"1967","November",41.54
"1967","December",32.07
"1968","January",28.94
"1968","February",32.92
"1968","March",43.56
"1968","April",50.58
"1968","May",58.17
"1968","June",68.5
"1968","July",72.86
"1968","August",70.59
"1968","September",63.9
"1968","October",54.64
"1968","November",41.14
"1968","December",30.04
"1969","January",29.37
"1969","February",32.81
"1969","March",36.03
"1969","April",52.63
"1969","May",61.41
"1969","June",66.83
"1969","July",74.1
"1969","August",73.22
"1969","September",65.55
"1969","October",51.03
"1969","November",41.59
"1969","December",33.46
"1970","January",27.14
"1970","February",35.35
"1970","March",38.5
"1970","April",49.44
"1970","May",61.07
"1970","June",68.74
"1970","July",73.96
"1970","August",73.38
"1970","September",64.58
"1970","October",52.27
"1970","November",41.31
"1970","December",33.58
"1971","January",29.41
"1971","February",33.48
"1971","March",39.65
"1971","April",50.27
"1971","May",58.26
"1971","June",69.44
"1971","July",72.36
"1971","August",72.01
"1971","September",64.33
"1971","October",55.08
"1971","November",41.61
"1971","December",33.98
"1972","January",29.93
"1972","February",33.55
"1972","March",44.04
"1972","April",50.81
"1972","May",60.53
"1972","June",68.22
"1972","July",72.18
"1972","August",71.67
"1972","September",64.44
"1972","October",52.29
"1972","November",38.93
"1972","December",29.86
"1973","January",29.59
"1973","February",33.58
"1973","March",44.29
"1973","April",48.83
"1973","May",59.23
"1973","June",68.95
"1973","July",73.26
"1973","August",72.61
"1973","September",64.4
"1973","October",56.07
"1973","November",42.93
"1973","December",33.71
"1974","January",31.01
"1974","February",34.74
"1974","March",44.38
"1974","April",51.55
"1974","May",60.37
"1974","June",68.49
"1974","July",74.08
"1974","August",70.3
"1974","September",62.31
"1974","October",53.89
"1974","November",42.39
"1974","December",33.66
"1975","January",32.34
"1975","February",32.76
"1975","March",38.7
"1975","April",46.85
"1975","May",60.35
"1975","June",67.51
"1975","July",73.56
"1975","August",71.53
"1975","September",62.89
"1975","October",54.63
"1975","November",42.6
"1975","December",34.29
"1976","January",29.93
"1976","February",39.56
"1976","March",42.31
"1976","April",51.85
"1976","May",59.04
"1976","June",67.8
"1976","July",72.9
"1976","August",70.66
"1976","September",64.18
"1976","October",50
"1976","November",38.48
"1976","December",30.92
"1977","January",23.09
"1977","February",36.03
"1977","March",43.18
"1977","April",54.07
"1977","May",61.66
"1977","June",70.34
"1977","July",74.43
"1977","August",71.78
"1977","September",65.93
"1977","October",53.98
"1977","November",42.87
"1977","December",33.28
"1978","January",25.86
"1978","February",27.99
"1978","March",41.31
"1978","April",51.58
"1978","May",59.74
"1978","June",68.94
"1978","July",73.8
"1978","August",71.8
"1978","September",65.84
"1978","October",54.41
"1978","November",41.47
"1978","December",29.8
"1979","January",21.9
